E66.9;Overweight or obesity
F12.221;Cannabis intoxication delirium, With moderate or severe use disorder
F12.222;Cannabis intoxication, With perceptual disturbances, With moderate or severe use disorder
F12.229;Cannabis intoxication, Without perceptual disturbances, With moderate or severe use disorder
F12.259;Cannabis-induced psychotic disorder, With moderate or severe use disorder
F12.280;Cannabis-induced anxiety disorder, With moderate or severe use disorder
F12.288;Cannabis withdrawal
F12.288;Cannabis-induced sleep disorder, With moderate or severe use disorder
F12.921;Cannabis intoxication delirium, Without use disorder
F12.922;Cannabis intoxication, With perceptual disturbances, Without use disorder
F12.929;Cannabis intoxication, Without perceptual disturbances, Without use disorder
F12.959;Cannabis-induced psychotic disorder, Without use disorder
F12.980;Cannabis-induced anxiety disorder, Without use disorder
F12.988;Cannabis-induced sleep disorder, Without use disorder
F12.99;Unspecified cannabis-related disorder
F13.10;Sedative, hypnotic, or anxiolytic use disorder, Mild
F13.121;Sedative, hypnotic, or anxiolytic intoxication delirium, With mild use disorder
F13.129;Sedative, hypnotic, or anxiolytic intoxication, With mild use disorder
F13.14;Sedative-, hypnotic-, or anxiolytic-induced bipolar and related disorder, With mild use disorder
F13.14;Sedative-, hypnotic-, or anxiolytic-induced depressive disorder, With mild use disorder
F13.159;Sedative-, hypnotic-, or anxiolytic-induced psychotic disorder, With mild use disorder
F13.180;Sedative-, hypnotic-, or anxiolytic-induced anxiety disorder, With mild use disorder
F13.181;Sedative-, hypnotic-, or anxiolytic-induced sexual dysfunction, With mild use disorder
F13.182;Sedative-, hypnotic-, or anxiolytic-induced sleep disorder, With mild use disorder
F13.20;Sedative, hypnotic, or anxiolytic use disorder, Moderate
F13.20;Sedative, hypnotic, or anxiolytic use disorder, Severe
F13.221;Sedative, hypnotic, or anxiolytic intoxication delirium, With moderate or severe use disorder
F13.229;Sedative, hypnotic, or anxiolytic intoxication, With moderate or severe use disorder
F13.231;Sedative, hypnotic, or anxiolytic withdrawal delirium
F13.232;Sedative, hypnotic, or anxiolytic withdrawal, With perceptual disturbances
F13.239;Sedative, hypnotic, or anxiolytic withdrawal, Without perceptual disturbances
F13.24;Sedative-, hypnotic-, or anxiolytic-induced bipolar and related disorder, With moderate or severe use disorder
F13.24;Sedative-, hypnotic-, or anxiolytic-induced depressive disorder, With moderate or severe use disorder
F13.259;Sedative-, hypnotic-, or anxiolytic-induced psychotic disorder, With moderate or severe use disorder
F13.27;Sedative-, hypnotic-, or anxiolytic-induced major neurocognitive disorder, With moderate or severe use disorder
F13.280;Sedative-, hypnotic-, or anxiolytic-induced anxiety disorder, With moderate or severe use disorder
F13.281;Sedative-, hypnotic-, or anxiolytic-induced sexual dysfunction, With moderate or severe use disorder
F13.282;Sedative-, hypnotic-, or anxiolytic-induced sleep disorder, With moderate or severe use disorder
F13.288;Sedative-, hypnotic-, or anxiolytic-induced mild neurocognitive disorder, With moderate or severe use disorder
F13.921;Sedative, hypnotic, or anxiolytic intoxication delirium, Without use disorder
F13.921;Sedative-, hypnotic-, or anxiolytic-induced delirium
F13.929;Sedative, hypnotic, or anxiolytic intoxication, Without use disorder
F13.94;Sedative-, hypnotic-, or anxiolytic-induced bipolar and related disorder, Without use disorder
F13.94;Sedative-, hypnotic-, or anxiolytic-induced depressive disorder, Without use disorder
F13.959;Sedative-, hypnotic-, or anxiolytic-induced psychotic disorder, Without use disorder
F13.97;Sedative-, hypnotic-, or anxiolytic-induced major neurocognitive disorder, Without use disorder
F13.980;Sedative-, hypnotic-, or anxiolytic-induced anxiety disorder, Without use disorder
F13.981;Sedative-, hypnotic-, or anxiolytic-induced sexual dysfunction, Without use disorder
F13.982;Sedative-, hypnotic-, or anxiolytic-induced sleep disorder, Without use disorder
F13.988;Sedative-, hypnotic-, or anxiolytic-induced mild neurocognitive disorder, Without use disorder
F13.99;Unspecified sedative-, hypnotic-, or anxiolytic-related disorder
F14.10;Cocaine use disorder, Mild
F14.121;Cocaine intoxication delirium, With mild use disorder
F14.122;Cocaine intoxication, With perceptual disturbances, With mild use disorder
F14.129;Cocaine intoxication, Without perceptual disturbances, With mild use disorder
F14.14;Cocaine-induced bipolar and related disorder, With mild use disorder
F14.14;Cocaine-induced depressive disorder, With mild use disorder
F14.159;Cocaine-induced psychotic disorder, With mild use disorder
F14.180;Cocaine-induced anxiety disorder, With mild use disorder
F14.181;Cocaine-induced sexual dysfunction, With mild use disorder
F14.182;Cocaine-induced sleep disorder, With mild use disorder
F14.188;Cocaine-induced obsessive-compulsive and related disorder, With mild use disorder
F14.20;Cocaine use disorder, Moderate
F14.20;Cocaine use disorder, Severe
F14.221;Cocaine intoxication delirium, With moderate or severe use disorder
F14.222;Cocaine intoxication, With perceptual disturbances, With moderate or severe use disorder
F14.229;Cocaine intoxication, Without perceptual disturbances, With moderate or severe use disorder
F14.23;Cocaine withdrawal
F14.24;Cocaine-induced bipolar and related disorder, With moderate or severe use disorder
F14.24;Cocaine-induced depressive disorder, With moderate or severe use disorder
F14.259;Cocaine-induced psychotic disorder, With moderate or severe use disorder
F14.280;Cocaine-induced anxiety disorder, With moderate or severe use disorder
F14.281;Cocaine-induced sexual dysfunction, With moderate or severe use disorder
F14.282;Cocaine-induced sleep disorder, With moderate or severe use disorder
F14.288;Cocaine-induced obsessive-compulsive and related disorder, With moderate or severe use disorder
F14.921;Cocaine intoxication delirium, Without use disorder
F14.922;Cocaine intoxication, With perceptual disturbances, Without use disorder
F14.929;Cocaine intoxication, Without perceptual disturbances, Without use disorder
F14.94;Cocaine-induced bipolar and related disorder, Without use disorder
F14.94;Cocaine-induced depressive disorder, Without use disorder
F14.959;Cocaine-induced psychotic disorder, Without use disorder
F14.980;Cocaine-induced anxiety disorder, Without use disorder
F14.981;Cocaine-induced sexual dysfunction, Without use disorder
F14.982;Cocaine-induced sleep disorder, Without use disorder
F14.988;Cocaine-induced obsessive-compulsive and related disorder, Without use disorder
F14.99;Unspecified cocaine-related disorder
F15.10;Amphetamine-type substance use disorder, Mild
F15.10;Other or unspecified stimulant use disorder, Mild
F15.121;Amphetamine (or other stimulant) intoxication delirium, With mild use disorder
F15.122;Amphetamine or other stimulant intoxication, With perceptual disturbances, With mild use disorder
F15.129;Amphetamine or other stimulant intoxication, Without perceptual disturbances, With mild use disorder
F15.14;Amphetamine (or other stimulant)-induced bipolar and related disorder, With mild use disorder
F15.14;Amphetamine (or other stimulant)-induced depressive disorder, With mild use disorder
F15.159;Amphetamine (or other stimulant)-induced psychotic disorder, With mild use disorder
F15.180;Amphetamine (or other stimulant)-induced anxiety disorder, With mild use disorder
F15.180;Caffeine-induced anxiety disorder, With mild use disorder
F15.181;Amphetamine (or other stimulant)-induced sexual dysfunction, With mild use disorder
F15.182;Amphetamine (or other stimulant)-induced sleep disorder, With mild use disorder
F15.182;Caffeine-induced sleep disorder, With mild use disorder
F15.188;Amphetamine (or other stimulant)-induced obsessive-compulsive and related disorder, With mild use disorder
F15.20;Amphetamine-type substance use disorder, Moderate
F15.20;Amphetamine-type substance use disorder, Severe
F15.20;Other or unspecified stimulant use disorder, Moderate
F15.20;Other or unspecified stimulant use disorder, Severe
F15.221;Amphetamine (or other stimulant) intoxication delirium, With moderate or severe use disorder
F15.222;Amphetamine or other stimulant intoxication, With perceptual disturbances, With moderate or severe use disorder
F15.229;Amphetamine or other stimulant intoxication, Without perceptual disturbances, With moderate or severe use disorder
F15.23;Amphetamine or other stimulant withdrawal
F15.24;Amphetamine (or other stimulant)-induced bipolar and related disorder, With moderate or severe use disorder
F15.24;Amphetamine (or other stimulant)-induced depressive disorder, With moderate or severe use disorder
F15.259;Amphetamine (or other stimulant)-induced psychotic disorder, With moderate or severe use disorder
F15.280;Amphetamine (or other stimulant)-induced anxiety disorder, With moderate or severe use disorder
F15.280;Caffeine-induced anxiety disorder, With moderate or severe use disorder
F15.281;Amphetamine (or other stimulant)-induced sexual dysfunction, With moderate or severe use disorder
F15.282;Amphetamine (or other stimulant)-induced sleep disorder, With moderate or severe use disorder
F15.282;Caffeine-induced sleep disorder, With moderate or severe use disorder
F15.288;Amphetamine (or other stimulant)-induced obsessive-compulsive and related disorder, With moderate or severe use disorder
F15.921;Amphetamine (or other stimulant) intoxication delirium, Without use disorder
F15.921;Amphetamine (or other stimulant)-induced delirium
F15.922;Amphetamine or other stimulant intoxication, With perceptual disturbances, Without use disorder
F15.929;Amphetamine or other stimulant intoxication, Without perceptual disturbances, Without use disorder
F15.929;Caffeine intoxication
F15.93;Caffeine withdrawal
F15.94;Amphetamine (or other stimulant)-induced bipolar and related disorder, Without use disorder
F15.94;Amphetamine (or other stimulant)-induced depressive disorder, Without use disorder
F15.959;Amphetamine (or other stimulant)-induced psychotic disorder, Without use disorder
F15.980;Amphetamine (or other stimulant)-induced anxiety disorder, Without use disorder
F15.980;Caffeine-induced anxiety disorder, Without use disorder
F15.981;Amphetamine (or other stimulant)-induced sexual dysfunction, Without use disorder
F15.982;Amphetamine (or other stimulant)-induced sleep disorder, Without use disorder
F15.982;Caffeine-induced sleep disorder, Without use disorder
F15.988;Amphetamine (or other stimulant)-induced obsessive-compulsive and related disorder, Without use disorder
F15.99;Unspecified amphetamine or other stimulant-related disorder
F15.99;Unspecified caffeine-related disorder
F16.10;Other hallucinogen use disorder, Mild
F16.10;Phencyclidine use disorder, Mild
F16.121;Other hallucinogen intoxication delirium, With mild use disorder
F16.121;Phencyclidine intoxication delirium, With mild use disorder
F16.129;Other hallucinogen intoxication, With mild use disorder
F16.129;Phencyclidine intoxication, With mild use disorder
F16.14;Other hallucinogen-induced bipolar and related disorder, With mild use disorder
F16.14;Other hallucinogen-induced depressive disorder, With mild use disorder
F16.14;Phencyclidine-induced bipolar and related disorder, With mild use disorder
F16.14;Phencyclidine-induced depressive disorder, With mild use disorder
F16.159;Other hallucinogen-induced psychotic disorder, With mild use disorder
F16.159;Phencyclidine-induced psychotic disorder, With mild use disorder
F16.180;Other hallucinogen-induced anxiety disorder, With mild use disorder
F16.180;Phencyclidine-induced anxiety disorder, With mild use disorder
F16.20;Other hallucinogen use disorder, Moderate
F16.20;Other hallucinogen use disorder, Severe
F16.20;Phencyclidine use disorder, Moderate
F16.20;Phencyclidine use disorder, Severe
F16.221;Other hallucinogen intoxication delirium, With moderate or severe use disorder
F16.221;Phencyclidine intoxication delirium, With moderate or severe use disorder
F16.229;Other hallucinogen intoxication, With moderate or severe use disorder
F16.229;Phencyclidine intoxication, With moderate or severe use disorder
F16.24;Other hallucinogen-induced bipolar and related disorder, With moderate or severe use disorder
F16.24;Other hallucinogen-induced depressive disorder, With moderate or severe use disorder
F16.24;Phencyclidine-induced bipolar and related disorder, With moderate or severe use disorder
F16.24;Phencyclidine-induced depressive disorder, With moderate or severe use disorder
F16.259;Other hallucinogen-induced psychotic disorder, With moderate or severe use disorder
F16.259;Phencyclidine-induced psychotic disorder, With moderate or severe use disorder
F16.280;Other hallucinogen-induced anxiety disorder, With moderate or severe use disorder
F16.280;Phencyclidine-induced anxiety disorder, With moderate or severe use disorder
F16.921;Other hallucinogen intoxication delirium, Without use disorder
F16.921;Phencyclidine intoxication delirium, Without use disorder
F16.929;Other hallucinogen intoxication, Without use disorder
F16.929;Phencyclidine intoxication, Without use disorder
F16.94;Other hallucinogen-induced bipolar and related disorder, Without use disorder
F16.94;Other hallucinogen-induced depressive disorder, Without use disorder
F16.94;Phencyclidine-induced bipolar and related disorder, Without use disorder
F16.94;Phencyclidine-induced depressive disorder, Without use disorder
F16.959;Other hallucinogen-induced psychotic disorder, Without use disorder
F16.959;Phencyclidine-induced psychotic disorder, Without use disorder
F16.980;Other hallucinogen-induced anxiety disorder, Without use disorder
F16.980;Phencyclidine-induced anxiety disorder, Without use disorder
F16.983;Hallucinogen persisting perception disorder
F16.99;Unspecified hallucinogen-related disorder
F16.99;Unspecified phencyclidine-related disorder
F17.200;Tobacco use disorder, Moderate
F17.200;Tobacco use disorder, Severe
F17.203;Tobacco withdrawal
F17.208;Tobacco-induced sleep disorder, With moderate or severe use disorder
F17.209;Unspecified tobacco-related disorder
F18.10;Inhalant use disorder, Mild
F18.121;Inhalant intoxication delirium, With mild use disorder
F18.129;Inhalant intoxication, With mild use disorder
F18.14;Inhalant-induced depressive disorder, With mild use disorder
F18.159;Inhalant-induced psychotic disorder, With mild use disorder
F18.17;Inhalant-induced major neurocognitive disorder, With mild use disorder
F18.180;Inhalant-induced anxiety disorder, With mild use disorder
F18.188;Inhalant-induced mild neurocognitive disorder, With mild use disorder
F18.20;Inhalant use disorder, Moderate
F18.20;Inhalant use disorder, Severe
F18.221;Inhalant intoxication delirium, With moderate or severe use disorder
F18.229;Inhalant intoxication, With moderate or severe use disorder
F18.24;Inhalant-induced depressive disorder, With moderate or severe use disorder
F18.259;Inhalant-induced psychotic disorder, With moderate or severe use disorder
F18.27;Inhalant-induced major neurocognitive disorder, With moderate or severe use disorder
F18.280;Inhalant-induced anxiety disorder, With moderate or severe use disorder
F18.288;Inhalant-induced mild neurocognitive disorder, With moderate or severe use disorder
F18.921;Inhalant intoxication delirium, Without use disorder
F18.929;Inhalant intoxication, Without use disorder
F18.94;Inhalant-induced depressive disorder, Without use disorder
F18.959;Inhalant-induced psychotic disorder, Without use disorder
F18.97;Inhalant-induced major neurocognitive disorder, Without use disorder
F18.980;Inhalant-induced anxiety disorder, Without use disorder
F18.988;Inhalant-induced mild neurocognitive disorder, Without use disorder
F18.99;Unspecified inhalant-related disorder
F19.10;Other (or unknown) substance use disorder, Mild
F19.121;Other (or unknown) substance intoxication delirium, With mild use disorder
F19.129;Other (or unknown) substance intoxication, With mild use disorder
F19.14;Other (or unknown) substance-induced bipolar and related disorder, With mild use disorder
F19.14;Other (or unknown) substance-induced depressive disorder, With mild use disorder
F19.159;Other (or unknown) substance-induced psychotic disorder, With mild use disorder
F19.17;Other (or unknown) substance-induced major neurocognitive disorder, With mild use disorder
F19.180;Other (or unknown) substance-induced anxiety disorder, With mild use disorder
F19.181;Other (or unknown) substance-induced sexual dysfunction, With mild use disorder
F19.182;Other (or unknown) substance-induced sleep disorder, With mild use disorder
F19.188;Other (or unknown) substance-induced mild neurocognitive disorder, With mild use disorder
F19.188;Other (or unknown) substance-induced obsessive-compulsive and related disorder, With mild use disorder
F19.20;Other (or unknown) substance use disorder, Moderate
F19.20;Other (or unknown) substance use disorder, Severe
F19.221;Other (or unknown) substance intoxication delirium, With moderate or severe use disorder
F19.229;Other (or unknown) substance intoxication, With moderate or severe use disorder
F19.231;Other (or unknown) substance withdrawal delirium
F19.239;Other (or unknown) substance withdrawal
F19.24;Other (or unknown) substance-induced bipolar and related disorder, With moderate or severe use disorder
F19.24;Other (or unknown) substance-induced depressive disorder, With moderate or severe use disorder
F19.259;Other (or unknown) substance-induced psychotic disorder, With moderate or severe use disorder
F19.27;Other (or unknown) substance-induced major neurocognitive disorder, With moderate or severe use disorder
F19.280;Other (or unknown) substance-induced anxiety disorder, With moderate or severe use disorder
F19.281;Other (or unknown) substance-induced sexual dysfunction, With moderate or severe use disorder
F19.282;Other (or unknown) substance-induced sleep disorder, With moderate or severe use disorder
F19.288;Other (or unknown) substance-induced mild neurocognitive disorder, With moderate or severe use disorder
F19.288;Other (or unknown) substance-induced obsessive-compulsive and related disorder, With moderate or severe use disorder
F19.921;Other (or unknown) substance intoxication delirium, Without use disorder
F19.921;Other (or unknown) substance-induced delirium
F19.929;Other (or unknown) substance intoxication, Without use disorder
F19.94;Other (or unknown) substance-induced bipolar and related disorder, Without use disorder
F19.94;Other (or unknown) substance-induced depressive disorder, Without use disorder
F19.959;Other (or unknown) substance-induced psychotic disorder, Without use disorder
F19.97;Other (or unknown) substance-induced major neurocognitive disorder, Without use disorder
F19.980;Other (or unknown) substance-induced anxiety disorder, Without use disorder
F19.981;Other (or unknown) substance-induced sexual dysfunction, Without use disorder
F19.982;Other (or unknown) substance-induced sleep disorder, Without use disorder
F19.988;Other (or unknown) substance-induced mild neurocognitive disorder, Without use disorder
F19.988;Other (or unknown) substance-induced obsessive-compulsive and related disorder, Without use disorder
F19.99;Unspecified other (or unknown) substance-related disorder
F20.81;Schizophreniform disorder
F20.9;Schizophrenia
F21;Schizotypal personality disorder
F22;Delusional disorder
F23;Brief psychotic disorder
F25.0;Schizoaffective disorder, Bipolar type
F25.1;Schizoaffective disorder, Depressive type
F28;Other specified schizophrenia spectrum and other psychotic disorder
F29;Unspecified schizophrenia spectrum and other psychotic disorder
F31.0;Bipolar I disorder, Current or most recent episode hypomanic
F31.11;Bipolar I disorder, Current or most recent episode manic, Mild
F31.12;Bipolar I disorder, Current or most recent episode manic, Moderate
F31.13;Bipolar I disorder, Current or most recent episode manic, Severe
F31.2;Bipolar I disorder, Current or most recent episode manic, With psychotic features
F31.31;Bipolar I disorder, Current or most recent episode depressed, Mild
F31.32;Bipolar I disorder, Current or most recent episode depressed, Moderate
F31.4;Bipolar I disorder, Current or most recent episode depressed, Severe
F31.5;Bipolar I disorder, Current or most recent episode depressed, With psychotic features
F31.73;Bipolar I disorder, Current or most recent episode hypomanic, In partial remission
F31.73;Bipolar I disorder, Current or most recent episode manic, In partial remission
F31.74;Bipolar I disorder, Current or most recent episode hypomanic, In full remission
F31.74;Bipolar I disorder, Current or most recent episode manic, In full remission
F31.75;Bipolar I disorder, Current or most recent episode depressed, In partial remission
F31.76;Bipolar I disorder, Current or most recent episode depressed, In full remission
F31.81;Bipolar II disorder
F31.89;Other specified bipolar and related disorder
F31.9;Bipolar I disorder, Current or most recent episode depressed, Unspecified
F31.9;Bipolar I disorder, Current or most recent episode hypomanic, Unspecified
F31.9;Bipolar I disorder, Current or most recent episode manic, Unspecified
F31.9;Bipolar I disorder, Current or most recent episode unspecified
F31.9;Unspecified bipolar and related disorder
F32.0;Major depressive disorder, Single episode, Mild
F32.1;Major depressive disorder, Single episode, Moderate
F32.2;Major depressive disorder, Single episode, Severe
F32.3;Major depressive disorder, Single episode, With psychotic features
F32.4;Major depressive disorder, Single episode, In partial remission
F32.5;Major depressive disorder, Single episode, In full remission
F32.8;Other specified depressive disorder
F32.9;Major depressive disorder, Single episode, Unspecified
F32.9;Unspecified depressive disorder
F33.0;Major depressive disorder, Recurrent episode, Mild
F33.1;Major depressive disorder, Recurrent episode, Moderate
F33.2;Major depressive disorder, Recurrent episode, Severe
F33.3;Major depressive disorder, Recurrent episode, With psychotic features
F33.41;Major depressive disorder, Recurrent episode, In partial remission
F33.42;Major depressive disorder, Recurrent episode, In full remission
F33.9;Major depressive disorder, Recurrent episode, Unspecified
F34.0;Cyclothymic disorder
F34.1;Persistent depressive disorder (dysthymia)
F34.8;Disruptive mood dysregulation disorder
F40.00;Agoraphobia
F40.10;Social anxiety disorder (social phobia)
F40.218;Specific phobia, Animal
F40.228;Specific phobia, Natural environment
F40.230;Specific phobia, Fear of blood
F40.231;Specific phobia, Fear of injections and transfusions
F40.232;Specific phobia, Fear of other medical care
F40.233;Specific phobia, Fear of injury
F40.248;Specific phobia, Situational
F40.298;Specific phobia, Other
F41.0;Panic disorder
F41.1;Generalized anxiety disorder
F41.8;Other specified anxiety disorder
F41.9;Unspecified anxiety disorder
F42;Hoarding disorder
F42;Obsessive-compulsive disorder
F42;Other specified obsessive-compulsive and related disorder
F42;Unspecified obsessive-compulsive and related disorder
F43.0;Acute stress disorder
F43.10;Posttraumatic stress disorder
F43.20;Adjustment disorder, Unspecified
F43.21;Adjustment disorder, With depressed mood
F43.22;Adjustment disorder, With anxiety
F43.23;Adjustment disorder, With mixed anxiety and depressed mood
F43.24;Adjustment disorder, With disturbance of conduct
F43.25;Adjustment disorder, With mixed disturbance of emotions and conduct
F43.8;Other specified trauma- and stressor-related disorder
F43.9;Unspecified trauma- and stressor-related disorder
F44.0;Dissociative amnesia
F44.1;Dissociative amnesia, with dissociative fugue
F44.4;Conversion disorder (functional neurological symptom disorder), With abnormal movement
F44.4;Conversion disorder (functional neurological symptom disorder), With speech symptoms
F44.4;Conversion disorder (functional neurological symptom disorder), With swallowing symptoms
F44.4;Conversion disorder (functional neurological symptom disorder), With weakness/paralysis
F44.5;Conversion disorder (functional neurological symptom disorder), With attacks or seizures
F44.6;Conversion disorder (functional neurological symptom disorder), With anesthesia or sensory loss
F44.6;Conversion disorder (functional neurological symptom disorder), With special sensory symptoms
F44.7;Conversion disorder (functional neurological symptom disorder), With mixed symptoms
F44.81;Dissociative identity disorder
F44.89;Other specified dissociative disorder
F44.9;Unspecified dissociative disorder
F45.1;Somatic symptom disorder
F45.21;Illness anxiety disorder
F45.22;Body dysmorphic disorder
F45.8;Other specified somatic symptom and related disorder
F45.9;Unspecified somatic symptom and related disorder
F48.1;Depersonalization/derealization disorder
F50.01;Anorexia nervosa, Restricting type
F50.02;Anorexia nervosa, Binge-eating/purging type
F50.2;Bulimia nervosa
F50.8;Avoidant/restrictive food intake disorder
F50.8;Binge-eating disorder
F50.8;Other specified feeding or eating disorder
F50.8;Pica, In adults
F50.9;Unspecified feeding or eating disorder
F51.3;Non-rapid eye movement sleep arousal disorders, Sleepwalking type
F51.4;Non-rapid eye movement sleep arousal disorders, Sleep terror type
F51.5;Nightmare disorder
F52.0;Male hypoactive sexual desire disorder
F52.21;Erectile disorder
F52.22;Female sexual interest/arousal disorder
F52.31;Female orgasmic disorder
F52.32;Delayed ejaculation
F52.4;Premature (early) ejaculation
F52.6;Genito-pelvic pain/penetration disorder
F52.8;Other specified sexual dysfunction
F52.9;Unspecified sexual dysfunction
F54;Psychological factors affecting other medical conditions
F60.0;Paranoid personality disorder
F60.1;Schizoid personality disorder
F60.2;Antisocial personality disorder
F60.3;Borderline personality disorder
F60.4;Histrionic personality disorder
F60.5;Obsessive-compulsive personality disorder
F60.6;Avoidant personality disorder
F60.7;Dependent personality disorder
F60.81;Narcissistic personality disorder
F60.89;Other specified personality disorder
F60.9;Unspecified personality disorder
F63.0;Gambling disorder
F63.1;Pyromania
F63.2;Kleptomania
F63.3;Trichotillomania (hair-pulling disorder)
F63.81;Intermittent explosive disorder
F64.1;Gender dysphoria in adolescents and adults
F64.2;Gender dysphoria in children
F64.8;Other specified gender dysphoria
F64.9;Unspecified gender dysphoria
F65.0;Fetishistic disorder
F65.1;Transvestic disorder
F65.2;Exhibitionistic disorder
F65.3;Voyeuristic disorder
F65.4;Pedophilic disorder
F65.51;Sexual masochism disorder
F65.52;Sexual sadism disorder
F65.81;Frotteuristic disorder
