#=====================================================
# iance$|noun|iant$|adj|2013|ORG_RULE|CHILD
# Total count: 34
#=====================================================
haplo-sufficiency|noun|E0669442|haplo-sufficient|adj|E0669441|yes
saliency|noun|E0338430|salient|adj|E0054177|yes
oxygen deficiency|noun|E0044891|oxygen deficient|adj|E0740259|yes
emolliency|noun|E0601060|emollient|adj|E0024968|yes
parturiency|noun|E0436682|parturient|adj|E0436681|yes
GH deficiency|noun|E0710326|GH deficient|adj|E0757549|yes
Ca deficiency|noun|E0736496|Ca deficient|adj|E0736495|yes
proficiency|noun|E0050204|proficient|adj|E0050205|yes
multi-deficiency|noun|E0611944|multi-deficient|adj|E0611943|yes
unexpediency|noun|E0621195|unexpedient|adj|E0621196|yes
non-immunodeficiency|noun|E0603444|non-immunodeficient|adj|E0603443|yes
obediency|noun|E0601038|obedient|adj|E0043325|yes
nondeficiency|noun|E0607828|nondeficient|adj|E0519017|yes
efficiency|noun|E0024563|efficient|adj|E0024564|yes
haplosufficiency|noun|E0669442|haplosufficient|adj|E0669441|yes
vitamin B1 deficiency|noun|E0693802|vitamin B1 deficient|adj|E0693811|yes
incipiency|noun|E0033971|incipient|adj|E0033972|yes
GH-deficiency|noun|E0710326|GH-deficient|adj|E0757549|yes
vitamin D deficiency|noun|E0720222|vitamin D deficient|adj|E0720221|yes
mismatch repair deficiency|noun|E0758931|mismatch repair deficient|adj|E0758932|yes
Ca-deficiency|noun|E0736496|Ca-deficient|adj|E0736495|yes
#=====================================================
# ization$|noun|ize$|verb|2013|ORG_RULE|CHILD
# Total count: 1250
#=====================================================
inventorization|noun|E0585827|inventorize|verb|E0585826|yes
avascularization|noun|E0566091|avascularize|verb|E0566090|yes
pelletization|noun|E0312127|pelletize|verb|E0312126|yes
residualization|noun|E0232112|residualize|verb|E0338483|yes
prepolymerization|noun|E0609977|prepolymerize|verb|E0609978|yes
islamization|noun|E0538886|islamize|verb|E0538885|yes
cosolubilization|noun|E0333389|cosolubilize|verb|E0333388|yes
asexualization|noun|E0010710|asexualize|verb|E0010711|yes
factorization|noun|E0232100|factorize|verb|E0027152|yes
protonization|noun|E0568611|protonize|verb|E0568610|yes
pre-dimerization|noun|E0619324|pre-dimerize|verb|E0724798|yes
re-optimization|noun|E0605965|re-optimize|verb|E0605964|yes
de-energization|noun|E0232094|de-energize|verb|E0333516|yes
rationalization|noun|E0052033|rationalize|verb|E0052034|yes
anti-plasticization|noun|E0614101|anti-plasticize|verb|E0614102|yes
pre-catheterization|noun|E0727743|pre-catheterize|verb|E0727744|yes
tuberculization|noun|E0062460|tuberculize|verb|E0062461|yes
vernalization|noun|E0234789|vernalize|verb|E0234790|yes
structuralization|noun|E0318041|structuralize|verb|E0437758|yes
reenergization|noun|E0363141|reenergize|verb|E0363142|yes
systematization|noun|E0059716|systematize|verb|E0059717|yes
lactonization|noun|E0318034|lactonize|verb|E0335528|yes
summarization|noun|E0222837|summarize|verb|E0058959|yes
epidermization|noun|E0025750|epidermize|verb|E0568528|yes
antagonization|noun|E0009258|antagonize|verb|E0009259|yes
decolourization|noun|E0021066|decolourize|verb|E0021067|yes
heroization|noun|E0585622|heroize|verb|E0585623|yes
internationalization|noun|E0035176|internationalize|verb|E0035177|yes
under-mineralization|noun|E0574241|under-mineralize|verb|E0734485|yes
tranquillization|noun|E0061684|tranquillize|verb|E0061685|yes
monophthongization|noun|E0574450|monophthongize|verb|E0574454|yes
hypophysectomization|noun|E0585624|hypophysectomize|verb|E0033036|yes
cristalization|noun|E0020031|cristalize|verb|E0020032|yes
naturalization|noun|E0041990|naturalize|verb|E0041991|yes
polytenization|noun|E0318273|polytenize|verb|E0570392|yes
heterochromatization|noun|E0226807|heterochromatize|verb|E0226808|yes
peritonealization|noun|E0232107|peritonealize|verb|E0046779|yes
collagenization|noun|E0514119|collagenize|verb|E0514120|yes
decapsulization|noun|E0734015|decapsulize|verb|E0734016|yes
centralization|noun|E0015849|centralize|verb|E0015850|yes
desynchronization|noun|E0218397|desynchronize|verb|E0415856|yes
stigmatization|noun|E0057935|stigmatize|verb|E0057936|yes
tranquilization|noun|E0061684|tranquilize|verb|E0061685|yes
musicalization|noun|E0360810|musicalize|verb|E0360811|yes
regularization|noun|E0052541|regularize|verb|E0052542|yes
non-neutralization|noun|E0726871|non-neutralize|verb|E0726870|yes
yarovization|noun|E0724428|yarovize|verb|E0540190|yes
dextrinization|noun|E0588291|dextrinize|verb|E0022210|yes
exonization|noun|E0741375|exonize|verb|E0741376|yes
jeopardization|noun|E0585641|jeopardize|verb|E0036192|yes
chemo-sensitization|noun|E0333128|chemo-sensitize|verb|E0333129|yes
rhythmization|noun|E0538945|rhythmize|verb|E0538944|yes
humanization|noun|E0318080|humanize|verb|E0032139|yes
focalization|noun|E0415947|focalize|verb|E0415946|yes
cross sensitization|noun|E0576752|cross sensitize|verb|E0576753|yes
subjectivization|noun|E0574123|subjectivize|verb|E0574124|yes
exteriorization|noun|E0026873|exteriorize|verb|E0026874|yes
legalization|noun|E0037153|legalize|verb|E0037154|yes
acculturization|noun|E0538815|acculturize|verb|E0538814|yes
demustardization|noun|E0021535|demustardize|verb|E0021536|yes
iodization|noun|E0232102|iodize|verb|E0035796|yes
androgenization|noun|E0008899|androgenize|verb|E0232007|yes
texturization|noun|E0232031|texturize|verb|E0232030|yes
canaliculization|noun|E0014880|canaliculize|verb|E0014881|yes
passivization|noun|E0045890|passivize|verb|E0045891|yes
hemoglobinization|noun|E0528280|hemoglobinize|verb|E0528278|yes
re-epithelialization|noun|E0417672|re-epithelialize|verb|E0338547|yes
suborganization|noun|E0611144|suborganize|verb|E0611145|yes
stylization|noun|E0058311|stylize|verb|E0058312|yes
bituminization|noun|E0586825|bituminize|verb|E0586824|yes
canonization|noun|E0538474|canonize|verb|E0538472|yes
auto-oxidization|noun|E0439823|auto-oxidize|verb|E0011381|yes
atropinization|noun|E0232025|atropinize|verb|E0232024|yes
overstabilization|noun|E0606211|overstabilize|verb|E0606210|yes
scientization|noun|E0588454|scientize|verb|E0573830|yes
oestrogenization|noun|E0026220|oestrogenize|verb|E0026221|yes
derandomization|noun|E0605937|derandomize|verb|E0605936|yes
hyperimmunization|noun|E0032698|hyperimmunize|verb|E0032699|yes
diazotization|noun|E0022399|diazotize|verb|E0022400|yes
clavelization|noun|E0017256|clavelize|verb|E0017257|yes
glamourization|noun|E0029803|glamourize|verb|E0029804|yes
haptenization|noun|E0568516|haptenize|verb|E0568515|yes
vitaminization|noun|E0538835|vitaminize|verb|E0538832|yes
diphthongization|noun|E0538888|diphthongize|verb|E0538887|yes
manualization|noun|E0579348|manualize|verb|E0579347|yes
mortalization|noun|E0538991|mortalize|verb|E0538990|yes
devitalization|noun|E0022181|devitalize|verb|E0022182|yes
angularization|noun|E0573473|angularize|verb|E0573472|yes
anonymization|noun|E0232090|anonymize|verb|E0332524|yes
acetalization|noun|E0540149|acetalize|verb|E0540146|yes
labialization|noun|E0359334|labialize|verb|E0359333|yes
diverticulization|noun|E0318229|diverticulize|verb|E0318230|yes
strychninization|noun|E0058252|strychninize|verb|E0540108|yes
reprioritization|noun|E0604769|reprioritize|verb|E0604767|yes
hydrophobization|noun|E0563357|hydrophobize|verb|E0563355|yes
re-mobilization|noun|E0204987|re-mobilize|verb|E0204992|yes
modelization|noun|E0229298|modelize|verb|E0229297|yes
repolymerization|noun|E0235070|repolymerize|verb|E0235069|yes
personalization|noun|E0046934|personalize|verb|E0046935|yes
photoionization|noun|E0047581|photoionize|verb|E0500353|yes
hyperandrogenization|noun|E0545245|hyperandrogenize|verb|E0731035|yes
modernization|noun|E0040655|modernize|verb|E0040656|yes
emotionalization|noun|E0540315|emotionalize|verb|E0540314|yes
nationalization|noun|E0041970|nationalize|verb|E0041971|yes
grammaticization|noun|E0588388|grammaticize|verb|E0588389|yes
desulphurization|noun|E0223290|desulphurize|verb|E0223291|yes
antiplasticization|noun|E0614101|antiplasticize|verb|E0614102|yes
fetishization|noun|E0585824|fetishize|verb|E0538683|yes
potentization|noun|E0226792|potentize|verb|E0226791|yes
cross-polarization|noun|E0581393|cross-polarize|verb|E0581394|yes
diagrammatization|noun|E0538909|diagrammatize|verb|E0538908|yes
paraffinization|noun|E0231991|paraffinize|verb|E0231990|yes
proletarization|noun|E0540220|proletarize|verb|E0540219|yes
Japanization|noun|E0538900|Japanize|verb|E0538899|yes
precrystallization|noun|E0622091|precrystallize|verb|E0622092|yes
re-vascularization|noun|E0053313|re-vascularize|verb|E0312519|yes
de-normalization|noun|E0728924|de-normalize|verb|E0728925|yes
desensitization|noun|E0021997|desensitize|verb|E0021998|yes
euchromatization|noun|E0573424|euchromatize|verb|E0745896|yes
desalinization|noun|E0333589|desalinize|verb|E0333588|yes
unitization|noun|E0538824|unitize|verb|E0538823|yes
rehybridization|noun|E0572303|rehybridize|verb|E0605258|yes
pre-depolarization|noun|E0606874|pre-depolarize|verb|E0606876|yes
immunoneutralization|noun|E0417654|immunoneutralize|verb|E0417655|yes
glamorization|noun|E0029803|glamorize|verb|E0029804|yes
devolatilization|noun|E0540873|devolatilize|verb|E0540872|yes
cyclotrimerization|noun|E0656812|cyclotrimerize|verb|E0656813|yes
decentralization|noun|E0021002|decentralize|verb|E0021003|yes
coumadinization|noun|E0730150|coumadinize|verb|E0730149|yes
orthogonalization|noun|E0227667|orthogonalize|verb|E0227668|yes
devitaminization|noun|E0540129|devitaminize|verb|E0540125|yes
majorization|noun|E0538995|majorize|verb|E0538994|yes
civilization|noun|E0017181|civilize|verb|E0017182|yes
homodimerization|noun|E0428965|homodimerize|verb|E0428966|yes
zeolitization|noun|E0562965|zeolitize|verb|E0562966|yes
revisualization|noun|E0363460|revisualize|verb|E0363461|yes
decurarization|noun|E0574018|decurarize|verb|E0724912|yes
anomerization|noun|E0571841|anomerize|verb|E0571840|yes
pre-familiarization|noun|E0622033|pre-familiarize|verb|E0622034|yes
positivization|noun|E0539320|positivize|verb|E0539321|yes
parasitization|noun|E0045618|parasitize|verb|E0045619|yes
re-mineralization|noun|E0052678|re-mineralize|verb|E0052679|yes
skeletonization|noun|E0318244|skeletonize|verb|E0318245|yes
re-embolization|noun|E0733717|re-embolize|verb|E0733718|yes
preacclimatization|noun|E0613486|preacclimatize|verb|E0613487|yes
aromatization|noun|E0318089|aromatize|verb|E0417574|yes
sulfidization|noun|E0585638|sulfidize|verb|E0585639|yes
peritonization|noun|E0046795|peritonize|verb|E0046796|yes
neo-functionalization|noun|E0726161|neo-functionalize|verb|E0726162|yes
autooxidization|noun|E0439823|autooxidize|verb|E0011381|yes
cranialization|noun|E0574010|cranialize|verb|E0574011|yes
siliconization|noun|E0312553|siliconize|verb|E0312552|yes
precatheterization|noun|E0727743|precatheterize|verb|E0727744|yes
remedicalization|noun|E0606551|remedicalize|verb|E0606550|yes
rearterialization|noun|E0338568|rearterialize|verb|E0338567|yes
adjectivization|noun|E0585514|adjectivize|verb|E0585513|yes
industrialization|noun|E0034264|industrialize|verb|E0034265|yes
cellularization|noun|E0318136|cellularize|verb|E0605270|yes
technicalization|noun|E0572455|technicalize|verb|E0572456|yes
preconization|noun|E0585822|preconize|verb|E0232038|yes
cohybridization|noun|E0424818|cohybridize|verb|E0424819|yes
optimization|noun|E0044050|optimize|verb|E0044051|yes
de-endothelialization|noun|E0525504|de-endothelialize|verb|E0525505|yes
cationization|noun|E0318092|cationize|verb|E0318093|yes
medicalization|noun|E0333777|medicalize|verb|E0333779|yes
deionization|noun|E0021335|deionize|verb|E0021336|yes
polyploidization|noun|E0417688|polyploidize|verb|E0538548|yes
deproteinization|noun|E0021873|deproteinize|verb|E0021874|yes
oxygenization|noun|E0585640|oxygenize|verb|E0044888|yes
pre-authorization|noun|E0536356|pre-authorize|verb|E0536357|yes
solubilization|noun|E0056675|solubilize|verb|E0056676|yes
orthonormalization|noun|E0729073|orthonormalize|verb|E0731733|yes
externalization|noun|E0026878|externalize|verb|E0026879|yes
pre-lyophilization|noun|E0619149|pre-lyophilize|verb|E0619151|yes
lexicalization|noun|E0227663|lexicalize|verb|E0227664|yes
overfertilization|noun|E0222722|overfertilize|verb|E0222723|yes
deendothelization|noun|E0568700|deendothelize|verb|E0568699|yes
camelization|noun|E0588187|camelize|verb|E0563322|yes
autopolymerization|noun|E0318293|autopolymerize|verb|E0729517|yes
caponization|noun|E0015043|caponize|verb|E0015044|yes
subfunctionalization|noun|E0610865|subfunctionalize|verb|E0610866|yes
pseudostabilization|noun|E0620808|pseudostabilize|verb|E0726473|yes
silanization|noun|E0565991|silanize|verb|E0565990|yes
self-catheterization|noun|E0725767|self-catheterize|verb|E0725768|yes
autotomization|noun|E0586333|autotomize|verb|E0072591|yes
prioritization|noun|E0318113|prioritize|verb|E0050055|yes
favourization|noun|E0587828|favourize|verb|E0587827|yes
de-generalization|noun|E0737402|de-generalize|verb|E0737401|yes
authorization|noun|E0011261|authorize|verb|E0011262|yes
dematerialization|noun|E0588283|dematerialize|verb|E0540232|yes
melanization|noun|E0218407|melanize|verb|E0416078|yes
novelization|noun|E0538989|novelize|verb|E0538988|yes
japanization|noun|E0538900|japanize|verb|E0538899|yes
quantization|noun|E0312275|quantize|verb|E0312274|yes
winterization|noun|E0538883|winterize|verb|E0538882|yes
cross-sensitization|noun|E0576752|cross-sensitize|verb|E0576753|yes
catheterization|noun|E0015606|catheterize|verb|E0015607|yes
spiritualization|noun|E0057224|spiritualize|verb|E0057225|yes
graphitization|noun|E0227684|graphitize|verb|E0227683|yes
cristallization|noun|E0020031|cristallize|verb|E0020032|yes
repermeabilization|noun|E0514121|repermeabilize|verb|E0514122|yes
cauterization|noun|E0015659|cauterize|verb|E0015660|yes
pre-trypsinization|noun|E0613380|pre-trypsinize|verb|E0613381|yes
recanalization|noun|E0206799|recanalize|verb|E0312318|yes
creolization|noun|E0573829|creolize|verb|E0573828|yes
co-polymerization|noun|E0417781|co-polymerize|verb|E0417782|yes
overcapitalization|noun|E0044636|overcapitalize|verb|E0044637|yes
sinusoidalization|noun|E0056072|sinusoidalize|verb|E0056073|yes
pre-nebulization|noun|E0621931|pre-nebulize|verb|E0621932|yes
cross-fertilization|noun|E0019856|cross-fertilize|verb|E0019857|yes
mathematization|noun|E0572457|mathematize|verb|E0572458|yes
syphilization|noun|E0540285|syphilize|verb|E0540284|yes
eserinization|noun|E0696813|eserinize|verb|E0540079|yes
Mendelization|noun|E0588463|Mendelize|verb|E0539450|yes
cyclo-trimerization|noun|E0656812|cyclo-trimerize|verb|E0656813|yes
over-generalization|noun|E0222727|over-generalize|verb|E0222728|yes
hypomineralization|noun|E0033014|hypomineralize|verb|E0416003|yes
demorphinization|noun|E0021525|demorphinize|verb|E0021526|yes
reconceptualization|noun|E0363076|reconceptualize|verb|E0312333|yes
phlebotomization|noun|E0587819|phlebotomize|verb|E0047303|yes
reflectorization|noun|E0540218|reflectorize|verb|E0540217|yes
re-randomization|noun|E0574244|re-randomize|verb|E0574243|yes
bastardization|noun|E0573487|bastardize|verb|E0012108|yes
capitalization|noun|E0015027|capitalize|verb|E0015028|yes
desexualization|noun|E0022003|desexualize|verb|E0022004|yes
adrenalectomization|noun|E0588278|adrenalectomize|verb|E0007470|yes
precyclization|noun|E0619285|precyclize|verb|E0619286|yes
symbolization|noun|E0059495|symbolize|verb|E0059496|yes
ventralization|noun|E0232116|ventralize|verb|E0331561|yes
neuralization|noun|E0235797|neuralize|verb|E0235796|yes
trimerization|noun|E0318043|trimerize|verb|E0331859|yes
micro-localization|noun|E0513963|micro-localize|verb|E0599024|yes
remobilization|noun|E0204987|remobilize|verb|E0204992|yes
recircularization|noun|E0568609|recircularize|verb|E0568608|yes
mercerization|noun|E0574453|mercerize|verb|E0039586|yes
co-hybridization|noun|E0424818|co-hybridize|verb|E0424819|yes
conventionalization|noun|E0226842|conventionalize|verb|E0226841|yes
tectonization|noun|E0349652|tectonize|verb|E0349651|yes
microcrystallization|noun|E0318268|microcrystallize|verb|E0734456|yes
operationalization|noun|E0316883|operationalize|verb|E0316882|yes
cyclopolymerization|noun|E0657372|cyclopolymerize|verb|E0657373|yes
sulfatization|noun|E0540293|sulfatize|verb|E0540292|yes
recolonization|noun|E0417826|recolonize|verb|E0312328|yes
biomineralization|noun|E0233002|biomineralize|verb|E0233001|yes
Bowdlerization|noun|E0585630|Bowdlerize|verb|E0013858|yes
jarovization|noun|E0724428|jarovize|verb|E0540190|yes
chloroformization|noun|E0016540|chloroformize|verb|E0016541|yes
re-circularization|noun|E0568609|re-circularize|verb|E0568608|yes
westernization|noun|E0065254|westernize|verb|E0065255|yes
dramatization|noun|E0023903|dramatize|verb|E0023904|yes
institutionalization|noun|E0034855|institutionalize|verb|E0034856|yes
estrogenization|noun|E0026220|estrogenize|verb|E0026221|yes
revolatilization|noun|E0538980|revolatilize|verb|E0538979|yes
feminization|noun|E0027566|feminize|verb|E0415931|yes
legitimatization|noun|E0588459|legitimatize|verb|E0037178|yes
miscompartmentalization|noun|E0605983|miscompartmentalize|verb|E0605982|yes
prerandomization|noun|E0514127|prerandomize|verb|E0514128|yes
self fertilization|noun|E0055086|self fertilize|verb|E0433390|yes
nominalization|noun|E0227665|nominalize|verb|E0227666|yes
hybridization|noun|E0032312|hybridize|verb|E0032315|yes
brutalization|noun|E0014249|brutalize|verb|E0014250|yes
politicization|noun|E0048647|politicize|verb|E0048648|yes
carbolization|noun|E0586328|carbolize|verb|E0015156|yes
reinternalization|noun|E0338466|reinternalize|verb|E0338467|yes
Russianization|noun|E0588410|Russianize|verb|E0588411|yes
photosensitization|noun|E0047622|photosensitize|verb|E0047623|yes
quaternization|noun|E0232111|quaternize|verb|E0338654|yes
tunnelization|noun|E0574229|tunnelize|verb|E0574230|yes
Europeanization|noun|E0539005|Europeanize|verb|E0539004|yes
Hinduization|noun|E0538905|Hinduize|verb|E0538904|yes
turgidization|noun|E0062618|turgidize|verb|E0062619|yes
extemporization|noun|E0026855|extemporize|verb|E0026856|yes
crystalization|noun|E0020031|crystalize|verb|E0020032|yes
traumatization|noun|E0312655|traumatize|verb|E0312654|yes
moralization|noun|E0562959|moralize|verb|E0040970|yes
under-virilization|noun|E0224268|under-virilize|verb|E0734486|yes
transacetalization|noun|E0730027|transacetalize|verb|E0734586|yes
de-proteinization|noun|E0021873|de-proteinize|verb|E0021874|yes
amortization|noun|E0008622|amortize|verb|E0008623|yes
reembolization|noun|E0733717|reembolize|verb|E0733718|yes
relocalization|noun|E0338458|relocalize|verb|E0338459|yes
vegetalization|noun|E0586331|vegetalize|verb|E0538511|yes
delethalization|noun|E0585955|delethalize|verb|E0538725|yes
absolutization|noun|E0538505|absolutize|verb|E0538504|yes
quinonization|noun|E0585629|quinonize|verb|E0716483|yes
homo-oligomerization|noun|E0565243|homo-oligomerize|verb|E0565242|yes
maximalization|noun|E0232019|maximalize|verb|E0232018|yes
preorganization|noun|E0235603|preorganize|verb|E0235604|yes
mimetization|noun|E0723637|mimetize|verb|E0337223|yes
catastrophization|noun|E0235789|catastrophize|verb|E0235788|yes
pre-organization|noun|E0235603|pre-organize|verb|E0235604|yes
characterization|noun|E0016212|characterize|verb|E0016207|yes
neurotization|noun|E0067729|neurotize|verb|E0568693|yes
methanization|noun|E0540888|methanize|verb|E0540887|yes
de-epidermization|noun|E0568526|de-epidermize|verb|E0568525|yes
kaolinization|noun|E0586424|kaolinize|verb|E0586423|yes
colchicinization|noun|E0556274|colchicinize|verb|E0538545|yes
substantialization|noun|E0538943|substantialize|verb|E0538942|yes
alkalinization|noun|E0008069|alkalinize|verb|E0440003|yes
iarovization|noun|E0724428|iarovize|verb|E0540190|yes
copolymerization|noun|E0417781|copolymerize|verb|E0417782|yes
invalidization|noun|E0574047|invalidize|verb|E0574048|yes
cocainization|noun|E0017596|cocainize|verb|E0017597|yes
synonymization|noun|E0585726|synonymize|verb|E0332290|yes
mentalization|noun|E0514081|mentalize|verb|E0514080|yes
communalization|noun|E0585875|communalize|verb|E0585876|yes
weaponization|noun|E0547185|weaponize|verb|E0547184|yes
prenebulization|noun|E0621931|prenebulize|verb|E0621932|yes
proletarianization|noun|E0538552|proletarianize|verb|E0538551|yes
expertization|noun|E0540866|expertize|verb|E0540865|yes
tautomerization|noun|E0332232|tautomerize|verb|E0332233|yes
re-victimization|noun|E0538637|re-victimize|verb|E0538638|yes
decrystallization|noun|E0227712|decrystallize|verb|E0724896|yes
anteriorization|noun|E0232091|anteriorize|verb|E0332530|yes
directionalization|noun|E0231965|directionalize|verb|E0231964|yes
visualization|noun|E0064751|visualize|verb|E0064752|yes
bureaucratization|noun|E0318217|bureaucratize|verb|E0231968|yes
polarization|noun|E0048604|polarize|verb|E0048605|yes
deglycerolization|noun|E0503783|deglycerolize|verb|E0503782|yes
axiomatization|noun|E0538917|axiomatize|verb|E0538916|yes
under-utilization|noun|E0312770|under-utilize|verb|E0312769|yes
volatization|noun|E0538892|volatize|verb|E0538891|yes
lapinization|noun|E0036856|lapinize|verb|E0036857|yes
glycerinization|noun|E0540862|glycerinize|verb|E0540861|yes
volcanization|noun|E0540194|volcanize|verb|E0539407|yes
synthetization|noun|E0585712|synthetize|verb|E0312616|yes
macrocyclization|noun|E0572037|macrocyclize|verb|E0572038|yes
maximization|noun|E0039137|maximize|verb|E0039138|yes
militarization|noun|E0232103|militarize|verb|E0040283|yes
depolymerization|noun|E0021835|depolymerize|verb|E0021836|yes
micellization|noun|E0318172|micellize|verb|E0333808|yes
tetanization|noun|E0060374|tetanize|verb|E0060375|yes
roentgenization|noun|E0585634|roentgenize|verb|E0585635|yes
heteromerization|noun|E0543865|heteromerize|verb|E0543864|yes
aestheticization|noun|E0547193|aestheticize|verb|E0547192|yes
sub-randomization|noun|E0620581|sub-randomize|verb|E0725743|yes
curarization|noun|E0417882|curarize|verb|E0417883|yes
autosensitization|noun|E0423182|autosensitize|verb|E0423181|yes
compartmentalization|noun|E0018103|compartmentalize|verb|E0018104|yes
degeneralization|noun|E0737402|degeneralize|verb|E0737401|yes
recontextualization|noun|E0538554|recontextualize|verb|E0538553|yes
mediatization|noun|E0585608|mediatize|verb|E0585610|yes
ketonization|noun|E0236848|ketonize|verb|E0236847|yes
extraperitonization|noun|E0609542|extraperitonize|verb|E0609543|yes
epoxidization|noun|E0415920|epoxidize|verb|E0415919|yes
necrotization|noun|E0316706|necrotize|verb|E0316705|yes
hygienization|noun|E0032571|hygienize|verb|E0595952|yes
monomerization|noun|E0330515|monomerize|verb|E0235784|yes
post-optimization|noun|E0622379|post-optimize|verb|E0622380|yes
patternization|noun|E0561673|patternize|verb|E0561672|yes
realkalinization|noun|E0538670|realkalinize|verb|E0538669|yes
intraperitonealization|noun|E0610588|intraperitonealize|verb|E0610589|yes
hinduization|noun|E0538905|hinduize|verb|E0538904|yes
radiosensitization|noun|E0417584|radiosensitize|verb|E0218426|yes
revitalization|noun|E0053356|revitalize|verb|E0053357|yes
negativization|noun|E0539325|negativize|verb|E0539326|yes
resynchronization|noun|E0233607|resynchronize|verb|E0233608|yes
lyonization|noun|E0237675|lyonize|verb|E0237676|yes
underimmunization|noun|E0584964|underimmunize|verb|E0584966|yes
fractionization|noun|E0539425|fractionize|verb|E0539423|yes
automatization|noun|E0330110|automatize|verb|E0330111|yes
corporatization|noun|E0231996|corporatize|verb|E0231995|yes
hypnoidization|noun|E0032891|hypnoidize|verb|E0032892|yes
pressurization|noun|E0218411|pressurize|verb|E0318276|yes
